id_hash,source,rating,date,text_redacted,version,processed
review_0001,google_play,1,2026-05-21,without consent funds moved to demant.,,True
review_0002,google_play,1,2026-05-21,the groee app is totally fraud.,17.95.2,True
review_0003,google_play,1,2026-05-21,"Beginners please Don't download this app, and don't go to share market, All Institutional, Operator's hunters traps and …",18.9.0,True
review_0004,google_play,1,2026-05-21,this app is scam . i withdraw money from this app and it didn't receive from 5 days .,,True
review_0005,google_play,1,2026-05-21,They are not showing any deducted money in any transaction history. without any any information they are deducting peopl…,18.9.0,True
review_0006,google_play,2,2026-05-21,showing wrong expense ratio in mutual funds.. expense ratio changed almost everyday making confusion,18.9.0,True
review_0007,google_play,1,2026-05-21,One of the worst app ever I seen.... Don't use this app it's seems like a fraud app...They are charging INR.26 + 5 Broke…,,True
review_0008,google_play,1,2026-05-21,Groww is charging fees much more than other demat accounts INR.26 + 5 Brokerage= Total 31 which is much more higher than…,18.9.0,True
review_0009,google_play,1,2026-05-21,worst app high brokerage charges don't use they charge 50+ ruppe of amount,,True
review_0010,google_play,1,2026-05-21,Groww is charging fees much more than other demat accounts INR.26 + 5 Brokerage= Total 31 which is much more higher than…,,True
review_0011,google_play,5,2026-05-21,It's great to use and the most important thing is that your videos are very important for understanding the data...,18.9.0,True
review_0012,google_play,5,2026-05-21,wasy to use and all the thisngs ure easy for understand step by step,18.9.0,True
review_0013,google_play,1,2026-05-21,very very 3 class app for trading,18.9.0,True
review_0014,google_play,1,2026-05-21,Profit centred company groww . unfair policy will lead of this app to shutdown in future. they are thinking to loot Peop…,18.8.1,True
review_0015,google_play,1,2026-05-21,"Even intraday trading charges are very high. Along with brokerage, external charges and taxes are also levied.",18.9.0,True
review_0016,google_play,5,2026-05-21,The experience has stayed smooth even after regular use. That consistency matters because I’ve tried apps before that be…,18.1.1,True
review_0017,google_play,4,2026-05-21,Simple and transperant app. One suggestion. Indices row in home page be larger in font size and must contain percentage …,18.9.0,True
review_0018,google_play,5,2026-05-21,“Groww is very easy to use and best for beginners. Investing in stocks and SIPs becomes simple with this app. Clean UI a…,18.8.1,True
review_0019,google_play,4,2026-05-21,nice app with quick support easy to invest or trade..,18.9.0,True
review_0020,google_play,5,2026-05-21,simple... tooo good.... inthis app very convenient feel safe...,18.9.0,True
review_0021,google_play,5,2026-05-21,super and easy to sell and buy stocks.,18.9.0,True
review_0022,google_play,1,2026-05-21,Very bad option trading...no intraday in selling and options trading strategies and basket order.scalper is for buying e…,18.9.0,True
review_0023,google_play,5,2026-05-21,I am very interested in this app,18.9.0,True
review_0024,google_play,1,2026-05-21,bad experience too much brokerage cut in mtf angel one is good,18.9.0,True
review_0025,google_play,5,2026-05-06,Very easy to use for investment in individual stocks and Mutual funds. But you will not get detailed information for any…,18.8.1,True
review_0026,google_play,1,2026-05-18,"Very poor experience with Groww commodity trading. Chart candles lag and don’t match actual market price, leading to wro…",18.9.0,True
review_0027,google_play,4,2026-05-07,Kindly show the sector in which the stock falls into when we open the stock name profile.. earlier it used to be a small…,18.8.1,True
review_0028,google_play,1,2026-05-18,"Groww UI is good and simple for new users. The app has introduced many updated features over time. However, I am giving …",18.9.0,True
review_0029,google_play,1,2026-05-15,"Customer service is total waste. For the first time I called customer care, the support executive was not able to resolv…",18.9.0,True
review_0030,google_play,1,2026-05-04,"“You can add money anytime, but for withdrawals, you only allow it on Monday at 10 AM — what kind of rule is that? You t…",18.8.1,True
review_0031,google_play,1,2026-05-06,yesterday I lost 4k because of App. Reason: when I am trying to navigate app got stuck for few seconds i tried clicking …,18.8.1,True
review_0032,google_play,2,2026-05-15,"Interface is good, but entry point is manipulated by them in buying and selling never enter without mentioning exact pri…",18.9.0,True
review_0033,google_play,1,2026-04-28,They charge too much! Almost zero profit. Not recommended! One more thing: You can't withdraw your money after crediting…,18.7.1,True
review_0034,google_play,1,2026-03-03,"Yesterday, I installed the Groww app and began intraday trading. After buying stocks, I tried to exit my positions but f…",18.4.2,True
review_0035,google_play,1,2026-03-19,"Earlier, this app worked fine, but over the last month, it has become very unreliable. Withdrawing money is not as easy …",18.5.0,True
review_0036,google_play,1,2026-04-27,"Bas app, be careful. Non supportive customer care. Maximum time number not connecting. Call cut down in between conversa…",18.7.1,True
review_0037,google_play,1,2026-03-07,I am trying since many days to import all internal and external Mutual Funds but app is just showing that they will come…,18.4.3,True
review_0038,google_play,1,2026-04-24,"I receive notifications from Groww, but there is no option in the app to view all notifications in one place. Once the n…",18.7.1,True
review_0039,google_play,1,2026-04-16,"Warning: Think twice before using Groww for Active Trading! ​​""Don't use Groww for active trading or options. It's okay …",18.7.1,True
review_0040,google_play,1,2026-03-16,Frustrated with the NAV allocation on this app. I consistently get a higher price than what is officially listed for the…,18.4.3,True
